bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Toilet,Bathroom Sink",Standard,"7.5 miles from San Jose, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Range (Stove),Microwave,Slide Out",28.0ft,"San Jose, CA",2014 Jayco Flight 25rks,"$2,500",$120,$750,"Year - 2014,Manufacturer - Jayco,Make - Jay Flight,Model - 25RKS,Class - Travel Trailer,Sleeps - 5,Total Number of Beds - 1,Slides - 1,Fresh water tank - 86.0 gal,Length - 28.0 ft,Height - 11.0 ft",5,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2014
"Shower,Toilet,Bathroom Sink",Standard,"6.8 miles from San Jose, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Slide Out",21.0ft,"San Jose, CA",2019 Family Friendly Apex 208BHS (Ultra ...,"$3,450",$139,$903,"Year - 2019,Manufacturer - Coachmen RV,Make - Apex,Model - 208BHS,Class - Travel Trailer,Sleeps - 8,Length - 21.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2019
"Shower,Toilet,Bathroom Sink",Standard,"9.5 miles from San Jose, CA","TV,AM/FM Radio","Refrigerator,Microwave,Kitchen Sink,Slide Out",18ft,"Cupertino, CA",Rpod 177 The basecamp,"$3,000",$150,$800,"Year - 2015,Manufacturer - Forest River RV,Make - R Pod,Model - RP-177,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 2,Slides - 1,Length - 18.0 ft,Height - 9.0 ft",4,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2015
"Shower,Toilet,Bathroom Sink",Standard,"19.3 miles from San Jose, CA","TV,DVD Player,AM/FM Radio,CD Player,iPod Docking Station","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",27.0ft,"Morgan Hill, CA",2017 Keystone Springdale,"$3,080",$110,$770,"Year - 2017,Manufacturer - Keystone RV,Make - Springdale,Model - 240BHWE,Class - Travel Trailer,Sleeps - 8,Number of Bunk Beds - 2,Slides - 1,Length - 27.0 ft,Height - 10.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
"Shower,Toilet,Bathroom Sink",Standard,"1.5 miles from San Jose, CA","TV,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",31.0ft,"San Jose, CA",2020 Wildwood by Forest River Heritage G...,"$6,600",$275,"$1,800","Year - 2020,Manufacturer - Forest River RV,Make - Wildwood Heritage Glen LTZ,Model - 314BUD,Class - Travel Trailer,Sleeps - 12,Total Number of Beds - 6,Number of Bunk Beds - 3,Slides - 2,Fresh water tank - 40.0 gal,Length - 31.0 ft,Height - 15.0 ft",12,"Hot & Cold Water Supply,In Dash Air Conditioning,Roof Air Conditioning",Travel Trailer,2020
"Shower,Toilet",Standard,"14.5 miles from San Jose, CA",TV,"Microwave,Range (Stove),Refrigerator,Kitchen Sink",21.25ft,"Los Altos Hills, CA",2020 Keystone RV Passport 175BH Express,"$3,340",$131,$826,"Year - 2020,Manufacturer - Keystone RV,Make - Passport,Model - 175BH Express,Class - Travel Trailer,Sleeps - 5,Total Number of Beds - 3,Number of Bunk Beds - 2,Fresh water tank - 43.0 gal,Length - 21.3 ft,Height - 10.5 ft",5,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2020
"Shower,Toilet,Bathroom Sink",Flexible,"10.2 miles from San Jose, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Microwave,Kitchen Sink,Slide Out",35.0ft,"San Jose, CA",Shirls,"$6,840",$285,"$1,795","Year - 2015,Manufacturer - Forest River RV,Make - Georgetown,Model - 351DS,Class - Class A Motor Home,Sleeps - 9,Total Number of Beds - 4,Number of Bunk Beds - 1,Slides - 2,Length - 35.0 ft",9,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2015
"Shower,Toilet,Bathroom Sink",Standard,"15.7 miles from San Jose, CA","CD Player,TV,DVD Player,AM/FM Radio","Kitchen Sink,Refrigerator,Range (Stove),Microwave",17.0ft,"Newark, CA",2017 Jayco Baha Edition,"$2,000",$135,$700,"Year - 2017,Manufacturer - Jayco,Make - Jay Feather 7,Model - 17XFD,Class - Travel Trailer,Sleeps - 5,Total Number of Beds - 3,Length - 17.0 ft,Height - 10.0 ft",5,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
"Shower,Toilet,Bathroom Sink",Standard,"27.2 miles from San Jose, CA","CD Player,TV,DVD Player,AM/FM Radio","Refrigerator,Microwave,Range (Stove),Kitchen Sink",24ft,"Livermore, CA",2008 Fleetwood RV Tioga 25G,"$4,463",$175,"$1,103","Year - 2002,Manufacturer - Fleetwood RV,Make - Tioga,Model - 25G,Class - Class C Motor Home,Sleeps - 6,Total Number of Beds - 1,Fresh water tank - 65.0 gal,Length - 24.0 ft,Height - 130.0 ft",6,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2002
"Shower,Toilet,Bathroom Sink",Standard,"27.2 miles from San Jose, CA",,"Refrigerator,Kitchen Sink,Microwave,Range (Stove)",27.0ft,"Livermore, CA",2006 Fleetwood RV Tioga 28Y,"$5,738",$225,"$1,418","Year - 2006,Manufacturer - Fleetwood RV,Make - Tioga,Model - 28Y,Class - Class C Motor Home,Sleeps - 8,Length - 27.0 ft",8,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2006
"Shower,Toilet,Bathroom Sink",Standard,"89.8 miles from San Jose, CA","CD Player,DVD Player,AM/FM Radio","Refrigerator,Microwave,Range (Stove),Kitchen Sink",21ft,"Sacramento, CA",2004 Winnebago Rialta,"$4,849",$199,"$1,253","Year - 2004,Manufacturer - Winnebago,Make - Rialta,Class - Class B Camping Van,Sleeps - 4,Fresh water tank - 16.0 gal,Length - 21.0 ft",4,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class B Camping Van,2004
"Shower,Bathroom Sink",Flexible,"42.3 miles from San Jose, CA","CD Player,TV,iPod Docking Station,DVD Player,AM/FM Radio","Range (Stove),Kitchen Sink,Refrigerator,Microwave,Slide Out",34ft,"San Francisco, CA",1996 FleetWood Bounder low milage runs g...,"$9,000",$300,"$3,000","Year - 2003,Manufacturer - fleetwood,Make - bounder,Class - Class A Motor Home,Sleeps - 6,Fresh water tank - 50.0 gal,Length - 34.0 ft",6,"Roof Air Conditioning,In Dash Air Conditioning",Class A Motor Home,2003
"Shower,Toilet,Bathroom Sink",Strict,"91.2 miles from San Jose, CA",AM/FM Radio,"Refrigerator,Microwave,Range (Stove),Kitchen Sink",27.0ft,"Sacramento, CA",TRAVEL TRAILER WILDWOOD 27' BUNKHOUSE,,$110,,"Year - 2011,Manufacturer - Forest River RV,Make - Wildwood,Model - 27BH,Class - Travel Trailer,Sleeps - 7,Total Number of Beds - 5,Number of Bunk Beds - 2,Fresh water tank - 40.0 gal,Length - 27.0 ft,Height - 11.0 ft",7,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2011
