bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Bathroom Sink,Toilet",Standard,"8.2 miles from Seattle, WA","iPod Docking Station,CD Player,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",24.0ft,"Kirkland, WA","Easy ride! Big enough to feel like home,...","$4,500",$220,"$1,400","Year - 2008,Manufacturer - Winnebago,Make - View,Model - 24J,Class - Class C Motor Home,Sleeps - 6,Total Number of Beds - 3,Number of Bunk Beds - 1,Slides - 1,Fresh water tank - 25.0 gal,Length - 24.0 ft",6,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2008
"Shower,Bathroom Sink",Standard,"12.2 miles from Seattle, WA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",31.0ft,"Bothell, WA",2018 Coachman Freedom Express 27.5BHS,,$130,$750,"Year - 2018,Manufacturer - Coachmen RV,Make - Freedom Express,Model - 275BHS,Class - Travel Trailer,Sleeps - 9,Total Number of Beds - 2,Slides - 1,Fresh water tank - 49.0 gal,Length - 31.0 ft,Height - 10.0 ft",9,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Toilet,Bathroom Sink",Standard,"14.4 miles from Seattle, WA","DVD Player,AM/FM Radio,TV,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",31.0ft,"Woodinville, WA",2005 Fleetwood Flair,"$4,310",$169,"$1,065","Year - 2005,Manufacturer - Fleetwood RV,Make - Flair,Model - 31A,Class - Class A Motor Home,Sleeps - 6,Total Number of Beds - 1,Slides - 2,Fresh water tank - 75.0 gal,Length - 31.0 ft,Height - 11.5 ft",6,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2005
"Shower,Toilet,Bathroom Sink",Standard,"13.7 miles from Seattle, WA","TV,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",25.1ft,"Issaquah, WA",2020 Coachmen RV Coachmen Prism 2150,"$6,222",$244,"$1,537","Year - 2020,Manufacturer - Coachmen RV,Make - Coachmen,Model - Prism 2150,Class - Class C Motor Home,Sleeps - 6,Total Number of Beds - 2,Number of Bunk Beds - 1,Slides - 1,Fresh water tank - 50.0 gal,Length - 25.1 ft,Height - 11.3 ft",6,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2020
"Shower,Toilet,Bathroom Sink",Standard,"18.8 miles from Seattle, WA","iPod Docking Station,CD Player,TV,DVD Player,AM/FM Radio","Slide Out,Refrigerator,Kitchen Sink,Microwave,Range (Stove)",29.0ft,"Auburn, WA",2019 Keystone Bullett,"$3,290",$130,$813,"Year - 2019,Manufacturer - Keystone RV,Make - Bullet,Model - 257RSS,Class - Travel Trailer,Sleeps - 6,Slides - 1,Length - 29.0 ft,Height - 10.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2019
"Shower,Toilet,Bathroom Sink",Standard,"15.1 miles from Seattle, WA","DVD Player,AM/FM Radio,CD Player,TV","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",24.0ft,"Bremerton, WA",Patty's Kid Approved & Pet Freindy RV Re...,"$2,100",$109,$654,"Year - 2018,Manufacturer - Keystone RV,Make - Springdale,Model - 201RDWE,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 3,Fresh water tank - 60.0 gal,Length - 24.0 ft,Height - 10.0 ft",4,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Toilet,Bathroom Sink",Standard,"13.4 miles from Seattle, WA","AM/FM Radio,TV","Slide Out,Refrigerator,Kitchen Sink,Microwave,Range (Stove)",20.0ft,"Bremerton, WA",2018 R-Pod R179,"$1,999",$99,$594,"Year - 2018,Manufacturer - Forest River,Make - R-Pod,Model - M-179,Class - Travel Trailer,Sleeps - 3,Total Number of Beds - 2,Slides - 1,Fresh water tank - 30.0 gal,Length - 20.0 ft",3,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Toilet,Bathroom Sink",Standard,"18.3 miles from Seattle, WA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Refrigerator,Microwave,Range (Stove),Kitchen Sink",24.0ft,"Auburn, WA",Summer Get-A-Way Ready!,"$3,188",$125,$788,"Year - 2018,Manufacturer - Forest River RV,Make - Salem Cruise Lite,Model - 201BHXL,Class - Travel Trailer,Sleeps - 6,Total Number of Beds - 4,Number of Bunk Beds - 2,Length - 24.0 ft,Height - 10.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Toilet,Bathroom Sink",Standard,"16.5 miles from Seattle, WA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",24.0ft,"Port Orchard, WA",2018 Winnebago 22M,"$6,395",$249,"$1,606","Year - 2018,Manufacturer - Winnebago,Make - Minnie Winnie,Model - 22M,Class - Class C Motor Home,Sleeps - 5,Total Number of Beds - 2,Slides - 1,Fresh water tank - 40.0 gal,Length - 24.0 ft,Height - 11.0 ft",5,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2018
"Shower,Toilet,Bathroom Sink",Strict,"17.9 miles from Seattle, WA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",30.0ft,"Snohomish, WA",NEW FOR RENT 2015 THOR MAJESTIC,"$3,500",$200,"$1,350","Year - 2015,Manufacturer - Thor Motor Coach,Make - Chateau Super C,Model - 33SW,Class - Class C Motor Home,Sleeps - 7,Fresh water tank - 40.0 gal,Length - 30.0 ft,Height - 12.0 ft",7,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2015
"Shower,Toilet",Standard,"16.7 miles from Seattle, WA",AM/FM Radio,"Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",17.0ft,"Bremerton, WA",2020 Forest River RV Cascade Lite 17JG,"$3,035",$119,$750,"Year - 2020,Manufacturer - Forest River RV,Make - Cascade Lite,Model - 17JG,Class - Travel Trailer,Sleeps - 6,Total Number of Beds - 4,Number of Bunk Beds - 1,Slides - 1,Fresh water tank - 32.0 gal,Length - 17.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2020
"Shower,Toilet,Bathroom Sink",Strict,"14.2 miles from Seattle, WA","TV,AM/FM Radio,iPod Docking Station,DVD Player,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",30.0ft,"Bremerton, WA",2011 31’ FR Sunseeker,"$4,000",$175,"$1,000","Year - 2011,Manufacturer - Forest River RV,Make - Sunseeker,Model - 2860DS,Class - Class C Motor Home,Sleeps - 7,Number of Bunk Beds - 1,Slides - 2,Fresh water tank - 40.0 gal,Length - 30.0 ft,Height - 11.0 ft",7,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2011
"Shower,Toilet,Bathroom Sink",Flexible,"18.5 miles from Seattle, WA","AM/FM Radio,iPod Docking Station","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",30.0ft,"Port Orchard, WA",2015 Thor Majestic 28A,"$4,463",$175,"$1,103","Year - 2015,Manufacturer - Thor Motor Coach,Make - Majestic,Model - 28A,Class - Class C Motor Home,Sleeps - 7,Total Number of Beds - 4,Fresh water tank - 50.0 gal,Length - 30.0 ft,Height - 12.0 ft",7,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2015
"Shower,Toilet,Bathroom Sink",Strict,"15.2 miles from Seattle, WA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",28.0ft,"Bothell, WA",2019 coachmen freelander,"$6,350",$249,"$1,569","Year - 2019,Manufacturer - Coachmen RV,Make - Freelander,Model - 28BH Ford 450,Class - Class C Motor Home,Sleeps - 10,Total Number of Beds - 5,Slides - 2,Fresh water tank - 43.0 gal,Length - 28.0 ft,Height - 10.0 ft",10,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2019
"Shower,Toilet,Bathroom Sink",Standard,"13.7 miles from Seattle, WA","CD Player,TV,DVD Player,AM/FM Radio","Refrigerator,Microwave,Range (Stove),Kitchen Sink,Slide Out",29.0ft,"Bremerton, WA",2011 Keystone Cougar,"$2,635",$100,$630,"Year - 2011,Manufacturer - Keystone RV,Make - Cougar,Model - 25RLSWE,Class - Travel Trailer,Sleeps - 6,Slides - 1,Length - 29.0 ft,Height - 11.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2011
"Shower,Toilet,Bathroom Sink",Flexible,"14.8 miles from Seattle, WA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",19.0ft,"Poulsbo, WA","""Joy"" is Ready for Adventures!","$2,907",$114,$718,"Year - 2018,Manufacturer - Forest river,Make - Rpod 179,Model - 179,Class - Travel Trailer,Sleeps - 3,Total Number of Beds - 2,Slides - 1,Length - 19.0 ft",3,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Toilet,Bathroom Sink",Standard,"5.0 miles from Seattle, WA","TV,DVD Player,AM/FM Radio,iPod Docking Station,CD Player","Range (Stove),Refrigerator,Kitchen Sink,Microwave",22.0ft,"Seattle, WA",B&R's Little House,"$3,750",$255,"$1,485","Year - 2018,Manufacturer - Winnebago,Make - Paseo,Model - 48P,Class - Class B Camping Van,Sleeps - 2,Total Number of Beds - 1,Length - 22.0 ft,Height - 9.0 ft",2,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class B Camping Van,2018
"Shower,Toilet,Bathroom Sink",Strict,"5.9 miles from Las Vegas, NV","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",34.0ft,"Las Vegas, NV",Remodeled 2018. Beautiful National Seabr...,,$159,$980,"Year - 2004,Manufacturer - National,Make - Sea Breeze,Model - 31FR,Class - Class A Motor Home,Sleeps - 5,Total Number of Beds - 3,Slides - 3,Fresh water tank - 55.0 gal,Length - 34.0 ft",5,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2004
"Shower,Toilet,Bathroom Sink",Strict,"70.0 miles from Las Vegas, NV","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",8.0ft,"Bunkerville, NV",2006 Wanderer by Thor Ind Glidelite,"$2,423",$95,$599,"Year - 1968,Manufacturer - Damon,Make - Challenger,Model - 371,Class - Pop-up Camper,Sleeps - 1,Length - 8.0 ft",1,"Roof Air Conditioning,Hot & Cold Water Supply",Pop-up Camper,1968
"Shower,Toilet,Bathroom Sink",Standard,"86.5 miles from Las Vegas, NV","TV,DVD Player,AM/FM Radio,CD Player,iPod Docking Station","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",30.0ft,"Fort Mohave, AZ",Jake and Sheryl’s” Good Times” RV Rental,"$5,585",$150,"$1,380","Year - 2016,Manufacturer - Forest River RV,Make - Forester,Model - 2861DS Ford,Class - Class C Motor Home,Sleeps - 6,Total Number of Beds - 4,Number of Bunk Beds - 1,Slides - 2,Fresh water tank - 55.0 gal,Length - 30.0 ft,Height - 135.0 ft",6,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2016
"Shower,Toilet,Bathroom Sink",Standard,"13.3 miles from Las Vegas, NV","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",32.0ft,"Las Vegas, NV","32' Gulf Stream SLEEPS 10, 2 Bunks, 2 Sl...",,$159,,"Year - 2017,Manufacturer - Gulf Stream RV,Make - Conquest Class C,Model - 63111,Class - Class C Motor Home,Sleeps - 9,Total Number of Beds - 6,Number of Bunk Beds - 3,Slides - 2,Fresh water tank - 40.0 gal,Length - 32.0 ft,Height - 11.0 ft",9,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2017
"Shower,Bathroom Sink,Toilet",Standard,"6.1 miles from Las Vegas, NV","iPod Docking Station,CD Player,AM/FM Radio,DVD Player,TV","Refrigerator,Microwave,Kitchen Sink,Range (Stove),Slide Out",23ft,"Las Vegas, NV",2019 Thor Motor Coach RUV 23TR,"$6,095",$239,"$1,506","Year - 2019,Manufacturer - Thor Motor Coach,Make - RUV 23TR,Class - Class C Motor Home,Sleeps - 3,Length - 23.0 ft",3,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2019
"Shower,Toilet,Bathroom Sink",Standard,"13.1 miles from Las Vegas, NV","CD Player,TV,DVD Player,AM/FM Radio,iPod Docking Station","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",30.0ft,"Las Vegas, NV",Think Outside! No Box Required.,"$8,000",$300,"$1,950","Year - 2012,Manufacturer - Coachmen RV,Make - Freelander,Model - 29QB Ford 450,Class - Class C Motor Home,Sleeps - 8,Total Number of Beds - 4,Slides - 1,Fresh water tank - 55.0 gal,Length - 30.0 ft,Height - 10.0 ft",8,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2012
"Shower,Bathroom Sink,Toilet",Standard,"6.6 miles from Las Vegas, NV","CD Player,TV,DVD Player,AM/FM Radio,iPod Docking Station","Microwave,Range (Stove),Refrigerator,Kitchen Sink",23ft,"Las Vegas, NV",GREAT SAVINGS 2015 Mercedes Sprinter Lei...,"$5,995",$249,"$1,695","Year - 2015,Manufacturer - Leisure Travel,Make - Free Spirit,Model - Free Spirit,Class - Class B Camping Van,Sleeps - 2,Total Number of Beds - 1,Fresh water tank - 38.0 gal,Length - 23.0 ft,Height - 9.0 ft",2,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class B Camping Van,2015
"Shower,Toilet,Bathroom Sink",Strict,"9.1 miles from Las Vegas, NV","TV,AM/FM Radio,DVD Player,CD Player","Refrigerator,Kitchen Sink,Microwave,Slide Out,Range (Stove)",32.0ft,"Las Vegas, NV",2019 Forester Forester 3011DS,"$7,000",$300,"$2,000","Year - 2019,Manufacturer - Forester,Make - Forester,Model - 3011DS,Class - Class C Motor Home,Sleeps - 6,Length - 32.0 ft",6,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2019
"Shower,Toilet,Bathroom Sink",Standard,"7.8 miles from Las Vegas, NV","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",29.0ft,"Las Vegas, NV",2016 Dutchmen RV Coleman Lantern Series ...,"$3,188",$125,$788,"Year - 2016,Manufacturer - Dutchmen RV,Make - Coleman Lantern Series,Model - 250TQ,Class - Toy Hauler,Sleeps - 6,Total Number of Beds - 4,Number of Bunk Beds - 1,Fresh water tank - 25.0 gal,Length - 29.0 ft,Height - 137.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Toy Hauler,2016
"Shower,Bathroom Sink,Toilet",Standard,"7.4 miles from Las Vegas, NV","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Refrigerator,Kitchen Sink",19.0ft,"Las Vegas, NV",2017 Pleasure-Way Ascent Std. Model,"$4,500",$200,"$1,200","Year - 2017,Manufacturer - Pleasure-Way,Make - Ascent,Model - Std. Model,Class - Class B Camping Van,Sleeps - 2,Length - 19.0 ft,Height - 115.0 ft",2,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class B Camping Van,2017
"Shower,Toilet,Bathroom Sink",Standard,"1.8 miles from Las Vegas, NV","TV,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",37.0ft,"Las Vegas, NV",Winona our 2017 Forest River Cherokee,"$2,500",$125,$750,"Year - 2017,Manufacturer - Forest River RV,Make - Cherokee,Model - 304BH,Class - Travel Trailer,Sleeps - 10,Total Number of Beds - 1,Number of Bunk Beds - 4,Slides - 3,Fresh water tank - 46.0 gal,Length - 37.0 ft,Height - 11.0 ft",10,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
"Shower,Toilet,Bathroom Sink",Strict,"7.6 miles from Las Vegas, NV","TV,DVD Player,AM/FM Radio,CD Player","Kitchen Sink,Refrigerator,Microwave,Range (Stove),Slide Out",32.0ft,"North Las Vegas, NV",2020 Entegra Coach Odyssey 31f FULLY LOA...,,$225,,"Year - 2020,Manufacturer - Entegra Coach,Make - Odyssey,Model - 31F,Class - Class C Motor Home,Sleeps - 10,Total Number of Beds - 6,Number of Bunk Beds - 2,Slides - 1,Fresh water tank - 47.0 gal,Length - 32.0 ft,Height - 11.7 ft",10,"In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2020
"Toilet,Shower,Bathroom Sink",Standard,"10.3 miles from Las Vegas, NV","CD Player,TV,DVD Player,AM/FM Radio,iPod Docking Station","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",28.0ft,"Las Vegas, NV",RV Enterprise- Boldly go where you've ne...,,$235,,"Year - 2016,Manufacturer - Fleetwood RV,Make - Storm,Model - 28MS,Class - Class A Motor Home,Sleeps - 6,Total Number of Beds - 3,Number of Bunk Beds - 1,Slides - 1,Fresh water tank - 60.0 gal,Length - 28.0 ft,Height - 12.0 ft",6,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2016
"Shower,Bathroom Sink,Toilet",Standard,"12.5 miles from Las Vegas, NV","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Refrigerator,Kitchen Sink",25.0ft,"Las Vegas, NV",2019 Winnebago Outlook 25J/ The Grateful...,"$4,500",$170,"$1,200","Year - 2019,Manufacturer - Winnebago,Make - Outlook,Model - 25J,Class - Class C Motor Home,Sleeps - 8,Total Number of Beds - 4,Length - 25.0 ft,Height - 10.0 ft",8,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2019
"Shower,Toilet,Bathroom Sink",Strict,"3.2 miles from Las Vegas, NV","AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",29.0ft,"Las Vegas, NV",2015 Thor Motor Coach Four Winds 28A Bil...,"$4,410",$159,"$1,050","Year - 2015,Manufacturer - Thor Motor Coach,Make - Four Winds,Model - 28A,Class - Class C Motor Home,Sleeps - 8,Length - 29.0 ft,Height - 130.0 ft",8,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2015
"Shower,Toilet,Bathroom Sink",Standard,"11.8 miles from Las Vegas, NV","AM/FM Radio,CD Player,TV","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",32.0ft,"Las Vegas, NV",2018 Forrest River Vengeance Rogue 28V,"$3,650",$130,$900,"Year - 2018,Manufacturer - Forest River RV,Make - Vengeance Rogue,Model - 28V,Class - Toy Hauler,Sleeps - 6,Total Number of Beds - 3,Number of Bunk Beds - 2,Fresh water tank - 100.0 gal,Length - 32.0 ft,Height - 12.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Toy Hauler,2018
"Shower,Toilet,Bathroom Sink",Flexible,"6.0 miles from Las Vegas, NV","TV,DVD Player,AM/FM Radio,CD Player","Kitchen Sink,Refrigerator,Microwave,Range (Stove)",23.0ft,"Las Vegas, NV",Travel The West With Our Easy to Drive C...,,$150,$950,"Year - 2012,Manufacturer - Coachmen RV,Make - Freelander,Model - 21QB Ford 350,Class - Class C Motor Home,Sleeps - 5,Total Number of Beds - 3,Fresh water tank - 50.0 gal,Length - 23.0 ft,Height - 10.0 ft",5,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2012
"Shower,Toilet",Standard,"6.5 miles from Las Vegas, NV","CD Player,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Refrigerator,Kitchen Sink",21.0ft,"Las Vegas, NV",FREE PROPANE WITH RENTAL,,$125,,"Year - 2020,Manufacturer - Heartland,Make - Mallard,Model - 185,Class - Travel Trailer,Sleeps - 6,Total Number of Beds - 4,Number of Bunk Beds - 2,Fresh water tank - 45.0 gal,Length - 21.0 ft,Height - 11.2 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2020
"Shower,Toilet,Bathroom Sink",Strict,"11.7 miles from Las Vegas, NV","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",27.0ft,"Henderson, NV","Vacation Ready! ""Fun Wagon"" Hit the Road...","$3,500",$145,$985,"Year - 2011,Manufacturer - Four Winds RV,Make - Four Winds,Model - 25C,Class - Class C Motor Home,Sleeps - 7,Total Number of Beds - 4,Length - 27.0 ft,Height - 12.0 ft",7,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2011
