bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Bathroom Sink,Toilet",Standard,"15.7 miles from Spokane, WA","CD Player,iPod Docking Station,DVD Player,TV,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",27.0ft,"Otis Orchards-East Farms, WA",Wildcat Maxx 29ft Travel trailer,"$2,376",$88,$528,"Year - 2013,Manufacturer - Forest River RV,Make - Wildcat Maxx,Model - 26FBS,Class - Travel Trailer,Sleeps - 5,Total Number of Beds - 2,Slides - 1,Length - 27.0 ft,Height - 11.0 ft",5,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2013
"Shower,Toilet,Bathroom Sink",Standard,"9.6 miles from Spokane, WA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Refrigerator,Microwave,Range (Stove),Kitchen Sink,Slide Out",30.0ft,"Mead, WA",Daisy Mae,,$265,"$1,590","Year - 2015,Manufacturer - Thor Motor Coach,Make - ACE,Model - 30.1,Class - Class A Motor Home,Sleeps - 5,Total Number of Beds - 3,Slides - 2,Length - 30.0 ft,Height - 12.0 ft",5,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2015
"Shower,Toilet,Bathroom Sink",Standard,"5.0 miles from Spokane, WA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",26ft,"Spokane, WA",2015 Jayco Jay Flight ,"$2,780",$109,$687,"Year - 2015,Manufacturer - Jayco,Make - Jay Flight ,Class - Travel Trailer,Sleeps - 8,Length - 26.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2015
"Shower,Toilet,Bathroom Sink",Strict,"20.7 miles from Boise, ID","TV,CD Player,AM/FM Radio,DVD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",43.0ft,"Nampa, ID",2011 Monaco Diplomat Ultra Luxury Class ...,,$348,"$2,092","Year - 2011,Manufacturer - Monaco,Make - Diplomat,Model - 43 DFT,Class - Class A Motor Home,Sleeps - 7,Total Number of Beds - 4,Slides - 3,Fresh water tank - 100.0 gal,Length - 43.0 ft,Height - 12.0 ft",7,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2011
"Shower,Toilet,Bathroom Sink",Standard,"22.0 miles from Boise, ID","TV,AM/FM Radio,CD Player","Microwave,Slide Out,Kitchen Sink,Refrigerator,Range (Stove)",26ft,"Emmett, ID",2017 Forest River Salem Cruise Lite Trav...,"$2,000",$125,$650,"Year - 2017,Class - Travel Trailer,Sleeps - 9,Fresh water tank - 40.0 gal,Length - 26.0 ft",9,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
"Shower,Toilet,Bathroom Sink",Strict,"23.7 miles from Boise, ID",,"Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",18ft,"Idaho City, ID",2018 Heartland SO185,"$2,600",$100,$700,"Year - 2018,Manufacturer - Heartland,Make - SO185,Class - Travel Trailer,Sleeps - 6,Length - 18.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Toilet,Bathroom Sink",Strict,"20.7 miles from Boise, ID","TV,DVD Player","Microwave,Refrigerator,Range (Stove),Slide Out,Kitchen Sink",18.0ft,"Nampa, ID",15' Palomino PaloMini Lite Travel Traile...,,$132,$830,"Year - 2015,Manufacturer - Palomino,Make - PaloMini,Model - 150RBS,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 2,Slides - 1,Length - 18.0 ft,Height - 9.0 ft",4,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2015
"Toilet,Shower,Bathroom Sink",Strict,"20.7 miles from Boise, ID","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",30.0ft,"Nampa, ID",29' Hurricane Offers Guaranteed Reservat...,,$322,"$1,970","Year - 2016,Manufacturer - Thor Motor Coach,Make - Hurricane,Model - 29M,Class - Class A Motor Home,Sleeps - 8,Total Number of Beds - 4,Number of Bunk Beds - 1,Slides - 1,Length - 30.0 ft,Height - 12.0 ft",8,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2016
"Shower,Toilet,Bathroom Sink",Strict,"20.8 miles from Boise, ID","AM/FM Radio,DVD Player,TV","Microwave,Refrigerator,Range (Stove),Slide Out,Kitchen Sink",29.0ft,"Nampa, ID",26' Jayco Jayflight Bunk House Travel Tr...,,$154,$924,"Year - 2016,Manufacturer - Jayco,Make - Jay Flight,Model - 26BH,Class - Travel Trailer,Sleeps - 8,Total Number of Beds - 5,Number of Bunk Beds - 2,Length - 29.0 ft,Height - 10.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2016
"Toilet,Shower,Bathroom Sink",Strict,"20.7 miles from Boise, ID","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",37.0ft,"Nampa, ID",36′ Winnebago Forza Luxury Class A Diese...,,$315,"$1,893","Year - 2016,Manufacturer - Winnebago,Make - Forza,Model - 36G,Class - Class A Motor Home,Sleeps - 5,Total Number of Beds - 3,Slides - 3,Length - 37.0 ft,Height - 11.0 ft",5,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2016
"Toilet,Shower,Bathroom Sink",Strict,"20.7 miles from Boise, ID","TV,DVD Player","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",26.0ft,"Nampa, ID",23' Jayco Jayfeather Travel Trailer Rent...,,$143,$858,"Year - 2016,Manufacturer - Jayco,Make - Jay Feather,Model - 23RBM,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 2,Slides - 1,Length - 26.0 ft,Height - 10.0 ft",4,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2016
