bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Toilet,Bathroom Sink",Strict,"14.9 miles from Orlando, FL","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",26.0ft,"Winter Garden, FL",2020 Coachmen/Catalina SBX 221TBS,,$129,,"Year - 2020,Manufacturer - Coachmen,Make - Catalina SBX,Model - 221TBS,Class - Travel Trailer,Sleeps - 5,Length - 26.0 ft",5,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2020
"Shower,Toilet,Bathroom Sink",Standard,"96.3 miles from Orlando, FL","TV,DVD Player,AM/FM Radio,CD Player,iPod Docking Station","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",34.0ft,"Saint Petersburg, FL",***$100 a night Summer Special***,"$1,500",$100,$500,"Year - 2019,Manufacturer - Dutchmen RV,Make - Rubicon XLT,Model - 301XLT,Class - Toy Hauler,Sleeps - 6,Total Number of Beds - 2,Slides - 1,Fresh water tank - 60.0 gal,Length - 34.0 ft,Height - 11.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Toy Hauler,2019
"Shower,Toilet,Bathroom Sink",Standard,"47.7 miles from Orlando, FL","DVD Player,TV,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",23ft,"Cape Canaveral, FL",2015 Primetime Tracer Air,"$3,500",$200,"$1,000","Year - 2015,Manufacturer - Primetime,Make - Tracer Air,Class - Travel Trailer,Sleeps - 4,Fresh water tank - 38.0 gal,Length - 23.0 ft",4,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2015
"Shower,Toilet,Bathroom Sink",Standard,"55.4 miles from Orlando, FL","TV,DVD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",39.0ft,"Lakeland, FL",2016 Keystone Alpine3536re,"$3,672",$144,$907,"Year - 2016,Manufacturer - Keystone RV,Make - Alpine,Model - 3536RE,Class - Fifth Wheel,Sleeps - 4,Total Number of Beds - 2,Slides - 4,Fresh water tank - 96.0 gal,Length - 39.0 ft,Height - 13.0 ft",4,"Hot & Cold Water Supply,Roof Air Conditioning",Fifth Wheel,2016
"Shower,Toilet,Bathroom Sink",Standard,"71.0 miles from Orlando, FL","TV,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",35.0ft,"Temple Terrace, FL",2008 Gulfstream Endura,"$5,070",$169,"$1,183","Year - 2008,Manufacturer - Gulf Stream RV,Make - Endura,Model - 6340,Class - Class C Motor Home,Sleeps - 5,Total Number of Beds - 3,Slides - 2,Fresh water tank - 94.0 gal,Length - 35.0 ft,Height - 12.0 ft",5,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2008
"Shower,Toilet,Bathroom Sink",Standard,"56.5 miles from Orlando, FL","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",43.0ft,"Ormond Beach, FL",2018 Keystone Carbon 417,"$3,825",$150,$945,"Year - 2018,Manufacturer - Keystone RV,Make - Carbon,Model - 417,Class - Fifth Wheel,Sleeps - 8,Total Number of Beds - 4,Number of Bunk Beds - 1,Slides - 3,Length - 43.0 ft,Height - 13.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Fifth Wheel,2018
"Shower,Toilet,Bathroom Sink",Strict,"55.7 miles from Orlando, FL","TV,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",28.0ft,"Brooksville, FL",2019 Forest river Salem fsx,$950,$85,$300,"Year - 2019,Manufacturer - Forest River RV,Make - Salem FSX,Model - 260RT,Class - Toy Hauler,Sleeps - 4,Fresh water tank - 40.0 gal,Length - 28.0 ft,Height - 10.0 ft",4,"Roof Air Conditioning,Hot & Cold Water Supply",Toy Hauler,2019
"Shower,Toilet,Bathroom Sink",Flexible,"99.6 miles from Orlando, FL","TV,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",29.0ft,"Palmetto, FL",2017 Salem - Your Home Away From Home,"$2,550",$99,$630,"Year - 2017,Manufacturer - Forest River RV,Make - Salem,Model - 27DBUD,Class - Travel Trailer,Sleeps - 8,Total Number of Beds - 4,Number of Bunk Beds - 2,Slides - 1,Length - 29.0 ft,Height - 11.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
"Shower,Bathroom Sink,Toilet",Standard,"29.5 miles from Orlando, FL","CD Player,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",34ft,"Umatilla, FL",Family time,"$2,000",$110,$675,"Year - 2014,Class - Travel Trailer,Sleeps - 6,Fresh water tank - 30.0 gal,Length - 34.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2014
"Shower,Toilet,Bathroom Sink",Standard,"69.6 miles from Orlando, FL","TV,DVD Player,AM/FM Radio,CD Player,iPod Docking Station","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",38.0ft,"Palm Coast, FL",2014 Thor Challenger 37GT,"$6,095",$239,"$1,506","Year - 2014,Manufacturer - Thor Motor Coach,Make - Challenger,Model - 37GT,Class - Class A Motor Home,Sleeps - 4,Slides - 3,Length - 38.0 ft,Height - 12.0 ft",4,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2014
